"","sub","item","cond.x","Rtn_sweep_type","char_line","Rtnsweep_land_char","corr_sacc_land_char","sample","undersweep_prob"
"14",1,99,3,"undersweep",6,3,1,"Old",1
"35",1,32,2,"undersweep",7,10,3,"Old",1
"55",1,40,1,"undersweep",9,9,4,"Old",1
"79",1,22,1,"undersweep",8,8,4,"Old",1
"98",1,34,1,"undersweep",7,7,4,"Old",1
"138",1,92,2,"undersweep",4,7,4,"Old",1
"157",1,91,1,"accurate",3,3,NA,"Old",0
"176",1,35,2,"undersweep",5,8,3,"Old",1
"203",1,6,3,"undersweep",8,5,2,"Old",1
"223",1,55,1,"undersweep",9,8,4,"Old",1
"243",1,3,3,"undersweep",9,6,2,"Old",1
"269",1,96,3,"accurate",7,4,NA,"Old",0
"297",1,68,2,"accurate",NA,2,NA,"Old",0
"325",1,16,1,"undersweep",6,6,4,"Old",1
"356",1,69,3,"undersweep",8,5,2,"Old",1
"383",1,11,2,"undersweep",6,9,5,"Old",1
"401",1,101,2,"accurate",1,4,NA,"Old",0
"421",1,54,3,"accurate",5,2,NA,"Old",0
"439",1,105,3,"accurate",3,0,NA,"Old",0
"470",1,30,3,"undersweep",7,4,1,"Old",1
"494",1,45,3,"undersweep",7,4,2,"Old",1
"519",1,77,2,"undersweep",1,4,3,"Old",1
"550",1,60,3,"undersweep",15,12,2,"Old",1
"581",1,74,2,"undersweep",1,4,2,"Old",1
"608",1,78,3,"undersweep",11,8,3,"Old",1
"630",1,72,3,"undersweep",8,5,1,"Old",1
"677",1,62,2,"accurate",NA,2,NA,"Old",0
"697",1,70,1,"undersweep",8,7,2,"Old",1
"721",1,51,3,"accurate",2,-1,NA,"Old",0
"744",1,33,3,"accurate",4,1,NA,"Old",0
"765",1,7,1,"accurate",3,3,NA,"Old",0
"789",1,86,2,"undersweep",6,9,5,"Old",1
"810",1,103,1,"undersweep",6,6,2,"Old",1
"843",1,38,2,"undersweep",1,3,2,"Old",1
"865",1,100,1,"undersweep",7,7,2,"Old",1
"911",1,58,1,"undersweep",5,5,1,"Old",1
"940",1,76,1,"undersweep",4,4,2,"Old",1
"959",1,81,3,"accurate",5,2,NA,"Old",0
"986",1,89,2,"undersweep",5,8,5,"Old",1
"1010",1,42,3,"undersweep",7,3,1,"Old",1
"1035",1,28,1,"undersweep",5,5,1,"Old",1
"1069",1,17,2,"undersweep",2,5,2,"Old",1
"1092",1,41,2,"undersweep",8,11,4,"Old",1
"1124",1,47,2,"undersweep",NA,2,0,"Old",1
"1148",1,98,2,"undersweep",4,7,2,"Old",1
"1161",1,80,2,"undersweep",29,32,19,"Old",1
"1199",1,14,2,"undersweep",5,8,2,"Old",1
"1218",1,46,1,"undersweep",9,9,2,"Old",1
"1245",1,56,2,"undersweep",1,4,1,"Old",1
"1263",1,63,3,"accurate",6,3,NA,"Old",0
"1297",1,104,2,"undersweep",NA,2,1,"Old",1
"1321",1,93,3,"undersweep",6,3,1,"Old",1
"1349",1,8,2,"undersweep",2,5,1,"Old",1
"1372",1,67,1,"accurate",NA,0,NA,"Old",0
"1393",1,84,3,"accurate",1,-2,NA,"Old",0
"1430",1,90,3,"undersweep",9,6,1,"Old",1
"1452",1,97,1,"accurate",3,3,NA,"Old",0
"1479",1,83,2,"undersweep",7,10,3,"Old",1
"1502",1,59,2,"undersweep",4,7,2,"Old",1
"1522",1,79,1,"accurate",2,2,NA,"Old",0
"1538",1,5,2,"accurate",NA,2,NA,"Old",0
"1558",1,48,3,"undersweep",8,5,1,"Old",1
"1586",1,53,2,"undersweep",2,5,0,"Old",1
"1609",1,29,2,"undersweep",NA,3,1,"Old",1
"1635",1,21,3,"accurate",4,1,NA,"Old",0
"1661",1,25,1,"accurate",NA,-2,NA,"Old",0
"1682",1,52,1,"undersweep",48,48,43,"Old",1
"1718",1,37,1,"undersweep",6,6,1,"Old",1
"1750",1,64,1,"undersweep",5,5,3,"Old",1
"1777",1,31,1,"undersweep",3,3,1,"Old",1
"1809",1,49,1,"undersweep",6,6,1,"Old",1
"1837",1,27,3,"undersweep",7,4,1,"Old",1
"1864",1,61,1,"accurate",2,2,NA,"Old",0
"1882",1,88,1,"undersweep",4,4,0,"Old",1
"1922",1,50,2,"undersweep",3,6,2,"Old",1
"1944",1,87,3,"undersweep",11,8,3,"Old",1
"1970",1,26,2,"undersweep",4,7,2,"Old",1
"1996",1,43,1,"undersweep",9,9,1,"Old",1
"2023",1,94,1,"undersweep",5,5,2,"Old",1
"2047",1,19,1,"undersweep",9,9,3,"Old",1
"2072",1,102,3,"accurate",5,2,NA,"Old",0
"2091",1,44,2,"undersweep",4,7,1,"Old",1
"2119",1,15,3,"undersweep",7,4,1,"Old",1
